date,location,product_type,current_inventory,demand_rate,lead_time,order_cost,unit_cost,quantity_sold,sales_price,promotion,promotional_sales_price,total_sales
2020-01-01,Germany,1000mm BBQ,338,0.4561809484135857,40,57000.0,3080.0,2,4004.0,0,4004.0,8008.0
2020-01-01,Germany,600mm BBQ,104,0.4123989686664207,40,33750.0,2020.0,0,2626.0,0,2626.0,0.0
2020-01-01,Germany,Gas Rob (2 Burners),735,0.3985855638371361,30,22400.0,800.0,2,1040.0,0,1040.0,2080.0
2020-01-01,Germany,Beer Fridge,181,0.3877138070051623,60,37000.0,2310.0,1,3003.0,0,3003.0,3003.0
2020-01-01,Spain,1000mm BBQ,92,0.4287070798954506,40,57000.0,3080.0,0,4004.0,1,3203.2000000000003,0.0
2020-01-01,Spain,600mm BBQ,237,0.4172888632518021,40,33750.0,2020.0,1,2626.0,1,2100.8,2100.8
2020-01-01,Spain,Gas Rob (2 Burners),15,0.4004056999942737,30,22400.0,800.0,0,1040.0,1,832.0,0.0
2020-01-01,Spain,Beer Fridge,368,0.4245527907192385,60,37000.0,2310.0,1,3003.0,1,2402.4,2402.4
2020-01-01,France,1000mm BBQ,961,0.3888177530302507,40,57000.0,3080.0,2,4004.0,1,3203.2000000000003,6406.400000000001
2020-01-01,France,600mm BBQ,371,0.4450552025069802,40,33750.0,2020.0,0,2626.0,0,2626.0,0.0
2020-01-01,France,Gas Rob (2 Burners),555,0.3857119212026964,30,22400.0,800.0,2,1040.0,0,1040.0,2080.0
2020-01-01,France,Beer Fridge,653,0.3485937093344892,60,37000.0,2310.0,2,3003.0,1,2402.4,4804.8
2020-01-01,Italy,1000mm BBQ,833,0.4030022168273416,40,57000.0,3080.0,1,4004.0,0,4004.0,4004.0
2020-01-01,Italy,600mm BBQ,488,0.3594603059024868,40,33750.0,2020.0,0,2626.0,0,2626.0,0.0
2020-01-01,Italy,Gas Rob (2 Burners),884,0.4363337253699172,30,22400.0,800.0,0,1040.0,1,832.0,0.0
2020-01-01,Italy,Beer Fridge,347,0.3166567454327869,60,37000.0,2310.0,2,3003.0,0,3003.0,6006.0
2020-01-01,Portugal,1000mm BBQ,610,0.4398935805749677,40,57000.0,3080.0,0,4004.0,0,4004.0,0.0
2020-01-01,Portugal,600mm BBQ,513,0.3526053391213149,40,33750.0,2020.0,0,2626.0,0,2626.0,0.0
2020-01-01,Portugal,Gas Rob (2 Burners),805,0.4123989785012457,30,22400.0,800.0,2,1040.0,1,832.0,1664.0
2020-01-01,Portugal,Beer Fridge,781,0.4183779052773677,60,37000.0,2310.0,2,3003.0,0,3003.0,6006.0
2020-01-01,UK,1000mm BBQ,160,0.3592582220347776,40,57000.0,3080.0,0,4004.0,1,3203.2000000000003,0.0
2020-01-01,UK,600mm BBQ,776,0.4155619783392887,40,33750.0,2020.0,2,2626.0,1,2100.8,4201.6
2020-01-01,UK,Gas Rob (2 Burners),386,0.4380071167283482,30,22400.0,800.0,1,1040.0,0,1040.0,1040.0
2020-01-01,UK,Beer Fridge,584,0.3384499476580268,60,37000.0,2310.0,0,3003.0,0,3003.0,0.0
2020-01-02,Germany,1000mm BBQ,918,0.3589452421046475,40,57000.0,3080.0,2,4004.0,0,4004.0,8008.0
2020-01-02,Germany,600mm BBQ,361,0.3434741264304786,40,33750.0,2020.0,1,2626.0,1,2100.8,2100.8
2020-01-02,Germany,Gas Rob (2 Burners),13,0.3815046051237483,30,22400.0,800.0,0,1040.0,1,832.0,0.0
2020-01-02,Germany,Beer Fridge,982,0.43834534447625,60,37000.0,2310.0,1,3003.0,1,2402.4,2402.4
2020-01-02,Spain,1000mm BBQ,0,0.4264875541974963,40,57000.0,3080.0,1,4004.0,1,3203.2000000000003,3203.2000000000003
2020-01-02,Spain,600mm BBQ,316,0.4015050581194309,40,33750.0,2020.0,1,2626.0,0,2626.0,2626.0
2020-01-02,Spain,Gas Rob (2 Burners),213,0.3740934975123894,30,22400.0,800.0,1,1040.0,1,832.0,832.0
2020-01-02,Spain,Beer Fridge,540,0.3257898984034353,60,37000.0,2310.0,2,3003.0,0,3003.0,6006.0
2020-01-02,France,1000mm BBQ,177,0.377718621131325,40,57000.0,3080.0,2,4004.0,1,3203.2000000000003,6406.400000000001
2020-01-02,France,600mm BBQ,330,0.4055051539177907,40,33750.0,2020.0,0,2626.0,0,2626.0,0.0
2020-01-02,France,Gas Rob (2 Burners),549,0.4307460502056014,30,22400.0,800.0,1,1040.0,0,1040.0,1040.0
2020-01-02,France,Beer Fridge,343,0.3477073423273336,60,37000.0,2310.0,2,3003.0,0,3003.0,6006.0
2020-01-02,Italy,1000mm BBQ,469,0.4642171088399412,40,57000.0,3080.0,0,4004.0,1,3203.2000000000003,0.0
2020-01-02,Italy,600mm BBQ,797,0.3888528562974392,40,33750.0,2020.0,0,2626.0,1,2100.8,0.0
2020-01-02,Italy,Gas Rob (2 Burners),785,0.3997892363558679,30,22400.0,800.0,0,1040.0,1,832.0,0.0
2020-01-02,Italy,Beer Fridge,738,0.3990015153210811,60,37000.0,2310.0,1,3003.0,1,2402.4,2402.4
2020-01-02,Portugal,1000mm BBQ,603,0.4262384213868758,40,57000.0,3080.0,1,4004.0,1,3203.2000000000003,3203.2000000000003
